Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_conv1d_0_filters,384,221.7,512,320,512,166.4,512
params_conv1d_0_kernel_size,5.33,1.15,6,5,6,4.2,6
params_conv1d_1_filters,256,0,256,256,256,256,256
params_conv1d_1_kernel_size,5.33,1.15,6,5,6,4.2,6
params_conv1d_2_filters,256,0,256,256,256,256,256
params_conv1d_2_kernel_size,11,1.41,11,10.5,11.5,10.1,11.9
params_conv1d_3_filters,No data,No data,No data,No data,No data,No data,No data
params_conv1d_3_kernel_size,No data,No data,No data,No data,No data,No data,No data
params_dense_0_dropout,0,0,0,0,0,0,0
params_dense_0_units,350,0,350,350,350,350,350
params_dense_1_dropout,0.4,0,0.4,0.4,0.4,0.4,0.4
params_dense_1_units,250,0,250,250,250,250,250
params_dense_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_dense_2_units,No data,No data,No data,No data,No data,No data,No data
params_num_conv_layers,2.67,0.58,3,2.5,3,2.1,3
params_num_dense_layers,2,0,2,2,2,2,2
params_pool_size_0,2.33,0.58,2,2,2.5,2,2.9
params_pool_size_1,7,0,7,7,7,7,7
params_pool_size_2,3,0,3,3,3,3,3
params_pool_size_3,No data,No data,No data,No data,No data,No data,No data
