Parameter,Category,Fraction,Count
params_cnn3d_activation_layer_0,leaky_relu,0.46808510638297873,88
params_cnn3d_activation_layer_0,swish,0.1276595744680851,24
params_cnn3d_activation_layer_0,tanh,0.11170212765957446,21
params_cnn3d_activation_layer_0,relu,0.11170212765957446,21
params_cnn3d_activation_layer_0,elu,0.10638297872340426,20
params_cnn3d_activation_layer_0,sigmoid,0.07446808510638298,14
params_cnn3d_activation_layer_1,elu,0.324468085106383,61
params_cnn3d_activation_layer_1,sigmoid,0.28191489361702127,53
params_cnn3d_activation_layer_1,relu,0.14893617021276595,28
params_cnn3d_activation_layer_1,swish,0.10638297872340426,20
params_cnn3d_activation_layer_1,tanh,0.09574468085106383,18
params_cnn3d_activation_layer_1,leaky_relu,0.0425531914893617,8
params_cnn3d_activation_layer_2,swish,0.3882978723404255,73
params_cnn3d_activation_layer_2,tanh,0.2074468085106383,39
params_cnn3d_activation_layer_2,sigmoid,0.14893617021276595,28
params_cnn3d_activation_layer_2,leaky_relu,0.0851063829787234,16
params_cnn3d_activation_layer_2,relu,0.0851063829787234,16
params_cnn3d_activation_layer_2,elu,0.0851063829787234,16
params_cnn3d_activation_layer_3,relu,0.3670212765957447,69
params_cnn3d_activation_layer_3,swish,0.30851063829787234,58
params_cnn3d_activation_layer_3,sigmoid,0.13829787234042554,26
params_cnn3d_activation_layer_3,elu,0.07446808510638298,14
params_cnn3d_activation_layer_3,leaky_relu,0.06914893617021277,13
params_cnn3d_activation_layer_3,tanh,0.0425531914893617,8
params_cnn3d_use_batch_norm_layer_1,False,0.601063829787234,113
params_cnn3d_use_batch_norm_layer_1,True,0.39893617021276595,75
params_cnn3d_use_batch_norm_layer_2,False,0.648936170212766,122
params_cnn3d_use_batch_norm_layer_2,True,0.35106382978723405,66
params_cnn3d_use_batch_norm_layer_3,False,0.8404255319148937,158
params_cnn3d_use_batch_norm_layer_3,True,0.1595744680851064,30
params_dense_1_activation,elu,0.3790322580645161,47
params_dense_1_activation,sigmoid,0.22580645161290322,28
params_dense_1_activation,leaky_relu,0.20967741935483872,26
params_dense_1_activation,swish,0.08064516129032258,10
params_dense_1_activation,tanh,0.056451612903225805,7
params_dense_1_activation,relu,0.04838709677419355,6
params_dense_2_activation,tanh,0.48484848484848486,16
params_dense_2_activation,elu,0.15151515151515152,5
params_dense_2_activation,leaky_relu,0.09090909090909091,3
params_dense_2_activation,swish,0.09090909090909091,3
params_dense_2_activation,relu,0.09090909090909091,3
params_dense_2_activation,sigmoid,0.09090909090909091,3
params_optimizer,Nadam,0.35911602209944754,65
params_optimizer,SGD,0.1878453038674033,34
params_optimizer,AdamW,0.16574585635359115,30
params_optimizer,Adam,0.11049723756906077,20
params_optimizer,RMSprop,0.10497237569060773,19
params_optimizer,Lion,0.0718232044198895,13
