Parameter,Mean,Std,Median,Min (25% quantile),Max (75% quantile),Min (5% quantile),Max (95% quantile)
params_cheb_0_dropout,0.25,0.21,0.25,0.18,0.32,0.12,0.38
params_cheb_0_units,160,169.71,160,100,220,52,268
params_cheb_1_dropout,0.15,0.21,0.15,7.50e-02,0.23,1.50e-02,0.29
params_cheb_1_units,200,169.71,200,140,260,92,308
params_cheb_2_dropout,No data,No data,No data,No data,No data,No data,No data
params_cheb_2_units,No data,No data,No data,No data,No data,No data,No data
params_cheb_3_dropout,No data,No data,No data,No data,No data,No data,No data
params_cheb_3_units,No data,No data,No data,No data,No data,No data,No data
params_dense_0_dropout,0.2,,0.2,0.2,0.2,0.2,0.2
params_dense_0_units,400,,400,400,400,400,400
params_dense_1_dropout,0.2,,0.2,0.2,0.2,0.2,0.2
params_dense_1_units,250,,250,250,250,250,250
params_dense_2_dropout,0.4,,0.4,0.4,0.4,0.4,0.4
params_dense_2_units,500,,500,500,500,500,500
params_knn_k,12,5.66,12,10,14,8.4,15.6
params_num_dense_layers,1.5,2.12,1.5,0.75,2.25,0.15,2.85
params_num_gnn_layers,2,0,2,2,2,2,2
